actor_id,combined_length,pages_estimate,name_unified,faction,share
42857,25,0.0,"Leslie, Charles, 1650-1722.",royalist,0.0
50170505,23,0.0,"Compton, Henry, 1632-1713.",other,0.0
12317897,21,0.0,"Fielding, Sarah, 1710-1768.",other,0.0
2480468,21,0.0,"Settle, Elkanah, 1648-1724.",other,0.0
47589,20,0.0,"Dodsley, R.",other,0.0
51698379,19,0.0,"Boyle, Robert, 1627-1691.",other,0.0
61406572,19,0.0,"Dove, John, 1560 or 1561-1618.",other,0.0
268955446,19,0.0,Plutarch.,other,0.0
64031406,19,0.0,"Weever, John, 1576-1632.",other,0.0
54274644,19,0.0,"Stubbe, Henry, 1632-1676.",other,0.0
72730471,19,0.0,"Lloyd, David, 1635-1692.",other,0.0
2817646,17,0.0,"Violet, Thomas, active 1634-1662.",other,0.0
24944529,15,0.0,"Oates, Titus, 1649-1705.",other,0.0
NV34743,15,0.0,A. H.,other,0.0
23080701,14,0.0,"Rogers, Richard, 1550?-1618.",other,0.0
250492615,14,0.0,"Robinson, Thomas, active 1589-1609.",other,0.0
42706012,13,0.0,"Whitelocke, James, Sir, 1570-1632.",other,0.0
100904863,13,0.0,"May, Thomas, 1595-1650.",other,0.0
71630182,12,0.0,"Rutherford, Samuel, 1600?-1661.",other,0.0
20028594,11,0.0,"Stanhope, Arthur, -1685?.",other,0.0
49570691,11,0.0,"Sage, John, 1652-1711.",jacobite,0.0
48186229,11,0.0,"Blackerby, Samuel, -1714.",other,0.0
76662788,11,0.0,"Hickeringill, Edmund, 1631-1708.",other,0.0
11257560,11,0.0,"Ferguson, Robert, -1714.",whig,0.0
314817944,10,0.0,"Willoughbie, John,",other,0.0
237087822,10,0.0,"Rollock, Robert, 1555?-1599.",other,0.0
23568632,10,0.0,"Osborne, Thomas, -1743.",other,0.0
59465911,9,0.0,"Horsley, William, 1701?-1776?.",other,0.0
74191986,9,0.0,"Hacket, John, 1592-1670.",royalist,0.0
63746882,9,0.0,"Crookshank, William, 1712?-1769.",other,0.0
47134056,9,0.0,"Hornby, Charles, -1739.",tory,0.0
NV35916,9,0.0,I. E.,other,0.0
314808730,8,0.0,"Kennedy, David, Captain.",other,0.0
64096404,8,0.0,"Stevens, John, -1726.",jacobite,0.0
12463453,8,0.0,"Hickes, George, 1642-1715.",other,0.0
51565279,7,0.0,"Shiells, Robert, -1753.",jacobite,0.0
15116762,7,0.0,"Cibber, Theophilus, 1703-1758.",other,0.0
56957239,7,0.0,"Ballard, George, 1706-1755.",other,0.0
39665542,6,0.0,"Powell, Robert, active 1636-1652.",other,0.0
39724695,5,0.0,"Johnston, Nathaniel, 1627-1705.",other,0.0
NV_BH_X01221962X,5,0.0,J. S.,other,0.0
304994073,5,0.0,Gentleman in the city.,other,0.0
100270567,5,0.0,"Ridpath, George, -1726.",other,0.0
64283738,5,0.0,"Leighton, Robert, 1611-1684.",other,0.0
47910075,5,0.0,"Powel, Gabriel, 1576-1611.",other,0.0
61942415,2,0.0,"Erskine, Ralph, 1685-1752.",other,0.0
42189565,2,0.0,"Bisbie, Nathaniel, 1635-1695.",other,0.0
